Координаты: (43.5, 325.5); Яркость: 18300; Размер: 81; Тип: звезда
Координаты: (48.5, 350.5); Яркость: 80753; Размер: 399; Тип: звезда
Координаты: (83.0, 322.5); Яркость: 969; Размер: 4; Тип: планета
Координаты: (76.0, 320.0); Яркость: 14198; Размер: 64; Тип: звезда
Координаты: (14.0, 310.0); Яркость: 4023; Размер: 16; Тип: планета
Координаты: (3.5, 279.0); Яркость: 2971; Размер: 12; Тип: планета
Координаты: (122.0, 241.0); Яркость: 14538; Размер: 64; Тип: звезда
Координаты: (224.0, 221.0); Яркость: 3974; Размер: 16; Тип: планета
Координаты: (33.5, 215.5); Яркость: 50837; Размер: 225; Тип: звезда
Координаты: (32.5, 202.5); Яркость: 2263; Размер: 9; Тип: планета
Координаты: (190.0, 203.0); Яркость: 8376; Размер: 36; Тип: звезда
Координаты: (198.0, 197.0); Яркость: 22755; Размер: 100; Тип: звезда
Координаты: (186.0, 169.5); Яркость: 10004; Размер: 42; Тип: звезда
Координаты: (19.0, 152.0); Яркость: 3990; Размер: 16; Тип: планета
Координаты: (165.0, 126.0); Яркость: 3960; Размер: 16; Тип: планета
Координаты: (120.0, 163.5); Яркость: 1318541; Размер: 8736; Тип: звезда
Координаты: (93.5, 97.5); Яркость: 6222; Размер: 25; Тип: звезда
Координаты: (196.0, 77.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (211.0, 287.0); Яркость: 3860; Размер: 16; Тип: планета
Координаты: (240.0, 285.5); Яркость: 5037; Размер: 22; Тип: планета
Координаты: (111.0, 278.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (188.5, 251.5); Яркость: 11633; Размер: 49; Тип: звезда
Координаты: (152.5, 125.5); Яркость: 2271; Размер: 9; Тип: планета
Координаты: (4.0, 32.0); Яркость: 3908; Размер: 16; Тип: планета
Координаты: (51.0, 21.5); Яркость: 405; Размер: 2; Тип: планета
Координаты: (41.0, 16.0); Яркость: 946; Размер: 4; Тип: планета
Координаты: (207.5, 11.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (202.5, 11.0); Яркость: 9390; Размер: 42; Тип: звезда
Координаты: (47.0, 4.5); Яркость: 29966; Размер: 144; Тип: звезда
Координаты: (167.0, 157.5); Яркость: 3021; Размер: 12; Тип: планета
Координаты: (171.0, 98.0); Яркость: 3972; Размер: 16; Тип: планета
Координаты: (137.0, 344.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (70.0, 346.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (22.5, 193.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (65.0, 201.5); Яркость: 152349; Размер: 700; Тип: звезда
Координаты: (181.5, 186.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (37.5, 175.5); Яркость: 6159; Размер: 25; Тип: звезда
Координаты: (89.0, 109.0); Яркость: 58225; Размер: 256; Тип: звезда
Координаты: (30.5, 102.5); Яркость: 2200; Размер: 9; Тип: планета
Координаты: (132.5, 49.0); Яркость: 4963; Размер: 20; Тип: планета
Координаты: (123.0, 39.0); Яркость: 4052; Размер: 16; Тип: планета
Координаты: (150.5, 30.5); Яркость: 2280; Размер: 9; Тип: планета
Координаты: (38.5, 21.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (35.5, 328.5); Яркость: 64749; Размер: 289; Тип: звезда
Координаты: (112.5, 284.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (5.0, 285.5); Яркость: 28909; Размер: 130; Тип: звезда
Координаты: (114.0, 278.0); Яркость: 3936; Размер: 16; Тип: планета
Координаты: (76.5, 256.0); Яркость: 13228; Размер: 56; Тип: звезда
Координаты: (158.0, 177.5); Яркость: 93335; Размер: 420; Тип: звезда
Координаты: (204.5, 120.5); Яркость: 5993; Размер: 25; Тип: звезда
Координаты: (54.5, 115.5); Яркость: 6197; Размер: 25; Тип: звезда
Координаты: (1.0, 100.0); Яркость: 1015; Размер: 4; Тип: планета
Координаты: (42.5, 69.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (14.5, 203.5); Яркость: 5934; Размер: 25; Тип: звезда
Координаты: (105.0, 197.5); Яркость: 3050; Размер: 12; Тип: планета
Координаты: (108.5, 188.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (166.5, 153.0); Яркость: 7354; Размер: 30; Тип: звезда
Координаты: (165.0, 254.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (38.5, 123.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (189.5, 56.5); Яркость: 255; Размер: 1; Тип: планета
